Gene,ID,Source
mecA,ARO:3000617,CARD
mecC,ARO:3001209,CARD
mupA,ARO:3000521,CARD
cfr,ARO:3003441,CARD
tetK,ARO:3000178,CARD
tetM,ARO:3000186,CARD
ermA,ARO:3000347,CARD
ermC,ARO:3000250,CARD
aph3,ARO:3002647,CARD
aadC,ARO:3002623,CARD
aac-aphD,ARO:3002597,CARD
lukF_PV,VFG001276,VFDB
lukS_PV,VFG001277,VFDB
tst,VFG001809,VFDB
sea,VFG001325,VFDB
seb,VFG001802,VFDB
sec1,VFG001804,VFDB
sec3,VFG001805,VFDB
sed,VFG001807,VFDB
see,VFG001808,VFDB
seh,VFG001803,VFDB
eta,VFG001800,VFDB
etb,VFG001801,VFDB
etd,,
arcA,WP_000129413.1,NCBI
